candidate_id,rank,score,reasoning
CAND_0001218,1,1.0,AI Specialist with 6.4 yrs; 4 AI core skills; response rate 0.82.
CAND_0081778,66,0.5445,Data Scientist with 6.4 yrs; 1 AI core skills; response rate 0.52.
CAND_0090300,67,0.5426,AI Research Engineer with 5.3 yrs; 3 AI core skills; response rate 0.94.
CAND_0018925,68,0.5424,AI Research Engineer with 5.8 yrs; 3 AI core skills; response rate 0.45.
CAND_0074123,69,0.5422,Data Scientist with 6.9 yrs; 5 AI core skills; response rate 0.38.
CAND_0010770,70,0.5421,Recommendation Systems Engineer with 15.2 yrs; 7 AI core skills; response rate 0.73.
CAND_0049771,71,0.5417,AI Research Engineer with 5.0 yrs; 3 AI core skills; response rate 0.81.
CAND_0033911,72,0.5417,Data Scientist with 6.9 yrs; 6 AI core skills; response rate 0.76.
CAND_0097176,73,0.5398,ML Engineer with 5.9 yrs; 2 AI core skills; response rate 0.76.
CAND_0023215,74,0.5395,Junior ML Engineer with 4.4 yrs; 3 AI core skills; response rate 0.43.
CAND_0078669,75,0.5356,ML Engineer with 6.3 yrs; 5 AI core skills; response rate 0.49.
CAND_0005260,76,0.5355,Senior NLP Engineer with 5.2 yrs; 6 AI core skills; response rate 0.86.
CAND_0003756,77,0.5353,Senior Software Engineer (ML) with 6.5 yrs; 3 AI core skills; response rate 0.38.
CAND_0049217,78,0.5347,Computer Vision Engineer with 6.0 yrs; 3 AI core skills; response rate 0.87.
CAND_0080534,79,0.5339,ML Engineer with 3.8 yrs; 5 AI core skills; response rate 0.91.
CAND_0074621,80,0.5327,Data Scientist with 5.2 yrs; 4 AI core skills; response rate 0.74.
CAND_0080344,81,0.5327,Senior Software Engineer (ML) with 4.9 yrs; 4 AI core skills; response rate 0.70.
CAND_0002120,82,0.5303,ML Engineer with 6.5 yrs; 5 AI core skills; response rate 0.72.
CAND_0014858,83,0.5297,AI Research Engineer with 4.9 yrs; 4 AI core skills; response rate 0.30.
CAND_0086062,84,0.5291,ML Engineer with 4.1 yrs; 3 AI core skills; response rate 0.51.
CAND_0060054,85,0.5269,AI Engineer with 6.4 yrs; 6 AI core skills; response rate 0.86.
CAND_0057563,86,0.5269,NLP Engineer with 6.8 yrs; 5 AI core skills; response rate 0.83.
CAND_0079387,87,0.5247,AI Engineer with 6.9 yrs; 5 AI core skills; response rate 0.81.
CAND_0069248,88,0.524,AI Research Engineer with 5.4 yrs; 2 AI core skills; response rate 0.75.
CAND_0003557,89,0.5238,ML Engineer with 6.8 yrs; 4 AI core skills; response rate 0.47.
CAND_0026610,90,0.5223,Computer Vision Engineer with 6.4 yrs; 1 AI core skills; response rate 0.67.
CAND_0044855,91,0.5207,Senior Data Scientist with 6.6 yrs; 6 AI core skills; response rate 0.57.
CAND_0008517,92,0.5207,AI Research Engineer with 5.6 yrs; 4 AI core skills; response rate 0.80.
CAND_0081321,93,0.5207,Senior Software Engineer (ML) with 5.3 yrs; 4 AI core skills; response rate 0.47.
CAND_0087766,94,0.5199,Computer Vision Engineer with 5.1 yrs; 6 AI core skills; response rate 0.33.
CAND_0016170,95,0.5174,AI Research Engineer with 6.8 yrs; 2 AI core skills; response rate 0.52.
CAND_0066713,96,0.5165,Senior Software Engineer (ML) with 5.7 yrs; 2 AI core skills; response rate 0.45.
CAND_0050876,97,0.5146,Applied ML Engineer with 6.0 yrs; 6 AI core skills; response rate 0.67.
CAND_0046525,98,0.5121,Senior Machine Learning Engineer with 6.1 yrs; 5 AI core skills; response rate 0.88.
CAND_0077296,99,0.5087,Computer Vision Engineer with 5.8 yrs; 3 AI core skills; response rate 0.50.
CAND_0086022,100,0.5062,Senior Applied Scientist with 5.3 yrs; 8 AI core skills; response rate 0.55.
